uid, ndata, create_baseline, create_edna, decay, undecay, delete, restore, baseline
13501, 11, 106, 263, 13093, 29971, 14848, 38198, 9573
13551, 7, 117, 292, 10452, 26426, 12144, 31403, 7431
13601, 10, 121, 289, 12180, 26295, 13801, 33854, 8694
13651, 17, 100, 249, 16056, 37003, 18654, 47781, 14321
13701, 9, 109, 268, 11879, 30359, 13761, 32130, 8139
13751, 9, 108, 262, 12080, 29683, 14134, 33609, 8798
13801, 9, 109, 277, 11582, 25059, 13374, 34146, 8174
13851, 10, 118, 269, 12398, 29258, 14382, 37661, 9036
13901, 23, 112, 256, 21313, 50610, 23817, 65228, 15188
13951, 8, 108, 263, 11341, 28389, 13238, 29800, 8165
14001, 11, 108, 258, 12671, 30507, 14804, 37785, 9308
14051, 8, 123, 296, 11251, 25293, 12747, 33537, 7658
14101, 15, 115, 262, 15462, 36085, 17875, 47832, 10601
14151, 6, 97, 257, 8953, 22800, 11664, 23855, 5925
14201, 12, 101, 259, 13146, 33044, 15563, 36056, 10912
14251, 3, 103, 260, 7309, 16801, 9039, 20714, 4600
14301, 12, 101, 272, 13144, 29752, 15653, 41712, 10334
14351, 16, 107, 244, 15491, 36692, 18295, 48920, 11047
14401, 16, 98, 236, 15894, 38798, 18586, 43781, 11464
14451, 9, 100, 258, 11058, 26733, 13501, 28907, 8590
14501, 11, 102, 262, 12498, 28423, 14817, 39661, 9253
14551, 10, 104, 278, 11430, 24884, 13645, 30572, 8687
14601, 7, 119, 280, 10677, 41566, 12718, 30027, 7189
14651, 15, 103, 262, 15411, 32312, 17752, 43951, 10834
14701, 11, 109, 266, 12730, 31841, 15002, 34388, 9696
14751, 9, 105, 242, 11400, 25533, 13672, 32402, 7871
14801, 17, 103, 272, 15689, 33765, 18575, 43443, 13016
14851, 13, 119, 255, 13431, 30408, 16033, 41584, 9406
14901, 15, 99, 243, 14259, 30737, 17227, 38527, 10293
14951, 11, 105, 258, 12474, 32364, 14798, 34623, 9441
15001, 7, 103, 243, 10236, 22367, 12422, 28035, 6726
15051, 17, 103, 272, 16165, 33994, 18974, 43740, 13145
15101, 17, 108, 245, 15741, 35873, 18604, 50542, 10968
15151, 24, 97, 233, 19961, 41942, 23406, 54675, 14946
15201, 17, 103, 260, 15923, 40009, 18828, 44836, 12463
15251, 31, 105, 243, 24530, 50825, 28374, 68611, 18380
15301, 29, 104, 294, 23342, 53520, 27047, 65231, 20087
15351, 17, 108, 245, 16075, 34322, 18809, 51723, 11557
15401, 14, 100, 255, 14136, 30576, 16822, 38104, 11270
15451, 18, 102, 238, 16770, 40970, 19698, 65273, 12659
15501, 25, 111, 280, 20834, 41314, 24354, 55288, 15021
15551, 25, 104, 278, 20391, 46437, 23647, 55894, 17519
15601, 17, 108, 243, 16255, 38377, 19089, 52266, 11675
15651, 35, 97, 255, 26498, 54895, 30812, 73425, 22819
15701, 31, 103, 256, 24645, 62553, 28676, 71748, 21673
15751, 34, 103, 244, 26041, 52445, 30283, 76468, 19707
15801, 39, 105, 276, 29878, 62192, 34567, 83987, 26415
15851, 25, 105, 238, 21109, 46024, 24590, 69674, 15554
15901, 30, 99, 236, 23782, 56601, 28039, 67943, 18200
15951, 30, 104, 242, 23733, 58404, 27858, 67965, 17623
16001, 28, 106, 274, 22202, 45793, 26016, 61277, 19276
16051, 32, 105, 259, 25456, 54292, 29595, 81922, 18749
16101, 48, 106, 240, 34492, 69715, 40599, 96462, 30042
16151, 57, 103, 240, 39993, 92411, 46726, 112054, 31337
16201, 36, 105, 243, 28040, 58421, 32521, 80121, 20669
16251, 45, 106, 264, 32812, 67084, 37798, 91266, 25181
16301, 50, 107, 255, 35275, 73277, 40894, 100829, 26441
16351, 55, 106, 240, 38814, 77933, 44869, 108072, 29165
16401, 56, 112, 257, 39519, 80249, 45757, 110098, 31326
16451, 61, 106, 248, 43245, 86470, 903486, 125259, 33160
16501, 58, 109, 285, 40422, 81342, 46653, 112843, 35763
16551, 74, 111, 255, 50982, 102853, 57352, 160117, 38725
16601, 68, 113, 255, 47885, 95337, 53373, 132597, 42650
16651, 97, 115, 257, 66923, 131794, 89907, 183563, 51191
16701, 97, 107, 252, 63783, 127577, 72726, 186975, 57620
16751, 106, 124, 284, 71911, 159939, 80130, 204693, 55498
16801, 117, 107, 258, 76494, 156912, 88700, 233777, 59179
16851, 111, 105, 268, 
